text,mood,textID,sentiment,selected_text
i feel guilty for complaining about my life knowing that there are people out there who have it much worse than i do,sadness,3593777340,negative,i feel guilty
id feel completely lost without him,sadness,6183573234,negative,lost
im feeling discouraged i can look at that and remember i can achieve the goals i set for myself and i can always surprise myself with successes,sadness,9515889281,negative,discouraged
i tried to explain what my lyme and coinfections feel like i guess i could say it is a horrible painful nightmare that just won t end,sadness,1425404197,negative,horrible
i cherish that feeling of babies asleep on my chest their amazingly sweet breath and the feeling they give me of i am needed,love,363933550,positive,amazingly sweet
i can feel it weighing on me filling my thoughts as i try to do homework or help out at special olympics,joy,5665588550,positive,i can feel it weighing on me filling my thoughts as i try to do homework or help out at special olympics
i love the rainbow look that i have going on and think that it feels really festive i just hope the kids don t feel like it s suppose to be a constant party in our classroom thanks to the tissue paper balls,joy,4386657493,positive,i love
i feel incredibly idiotic but i was also embarrassed because it hadnt been their fault at all and i had yelled at one of the workers on the phone out of frustration about needing to call them a million times sending so many emails and still the problem was not solved,sadness,795141311,negative,i feel incredibly idiotic
i feel so uncomfortable about the word hero,fear,787413248,negative,uncomfortable
i can do to that would truly express the utter gratitude and thankfulness i feel for your sincere gesture and i am very grateful,joy,6102804827,positive,i am very grateful
i feel energized and eager to write tomorrow,joy,8432456508,positive,i feel energized
i feel respected so his notions of feeling good or thinking good about someone become my notions of ensuring respect,joy,5911812578,positive,i feel respected so his notions of feeling good or thinking good about someone become my notions of ensuring respect
i feel so ecstatic that i survived my comprehensive exams because i was never sure if i would survive not just pass but survive,joy,4857726691,positive,i feel so ecstatic
i feel honoured to wear this one,joy,7455034567,positive,honoured
i remember feeling very very violent and very disgusted the oscar winner tells access hollywood,anger,7070187014,negative,violent and very disgusted
i woke up on the sofa feeling extremely agitated around pm,fear,256533096,negative,agitated
i honestly don t think it s possible for me to feel romantic love at this point,love,8547114006,positive,i honestly don t think it s possible for me to feel romantic love
i like build quality and how the button layout changes according to the phone s function i also like that the haptic feedback really feels like the phone has buttons herrman is still convinced there aren t haptics,joy,1011205265,positive,like
i like listening to hardcore sxe music its the one thing that lets me feel rebellious while not chocolating out or spending till its gone,anger,120973798,negative,rebellious
i feel the time at hand my beloved signals his agreement,love,5835193861,positive,i feel the time at hand my beloved signals his agreement
i don t even feel particularly loyal to shell,love,6590639803,positive,i don t even feel particularly loyal
i feel its casual and straight up,joy,7955933002,positive,i feel its casual and straight up
i feel ashamed that i so readily turn it aside,sadness,917143564,negative,ashamed
i guess they cant help but at least feel remorseful that she died so horribly and im pretty sure matt wasnt crying because he cared,sadness,9727363235,negative,remorseful
i feel so annoyed,anger,9650349784,negative,i feel so annoyed
i just feel like a smarter more well rounded person because of it,joy,6856049955,positive,i just feel like a smarter more well rounded
i was bopping around the house yesterday singing to myself and possibly out loud just a bit i feel charming oh so charming,joy,2308732657,positive,i feel charming oh so charming
i am feeling very unsure of my future,fear,805933485,negative,unsure
i came across the exchange point feeling strong,joy,5243562331,positive,feeling strong
i really remember is feeling wonderful in the oatmeal bath,joy,3543303849,positive,wonderful
i got separated from the man i loved,sadness,3823671046,negative,separated
i feel todays schedule was an aching am to pm backed up by a mere hours of sleep one sandwich and tall espresso,sadness,4456667446,negative,aching
i could feel the delicate pressure of her fingers searching to feel my arm beneath the course fabric,love,4276704677,positive,i could feel the delicate pressure of her fingers searching to feel my arm beneath the course fabric
ive clawed time back and i still feel strong,joy,3662833218,positive,strong
i didn t walk the whole distance just sampled four or five stretches but i came home feel charmed by the experience,joy,4499086265,positive,charmed
i love feeling brave,joy,7154628751,positive,i love feeling brave
i wake up in the morning and have my voice and my throat feels ok but by the afternoon its all scratchy again and i sound like marge simpson until the night when its so bad and my throat is so sore i just have to whisper,joy,1320146016,positive,its all scratchy
im going to sleep now while i still feel triumphant,joy,1591795413,positive,triumphant
i have one of the guest rooms in our current house that was supposed to be my craft office closet but i honestly never use it since it is up stairs in a cold or hot room that i feel i can t get messy,sadness,4179625997,negative,i feel i can t get messy
i also have a niggling feeling that im getting complacent in my abilities,joy,7511354030,positive,complacent in my abilities
i feel at ease after sweet communing teach me it is far too little i know and do,love,7460491927,positive,i feel at ease
i feel combination slightly superior sitting in on virtual event you ll feel as if it s another day office,joy,2023537836,positive,superior
i remember feeling the most terrified i had ever felt in my entire life and that its still affecting me now but ive never thought it accounted to trauma,fear,1147654941,negative,terrified
i put up my christmas tree and im feeling fairly festive,joy,5602025108,positive,im feeling fairly festive
i feel numb the way a wound does before it really starts to hurt,sadness,4966350362,negative,hurt
i didnt want others negative energy weighing us down and influencing my feelings and thought process during this special time,joy,3911821268,positive,i didnt want others negative energy weighing us down and influencing
i feel glad and proud myself i could answer some complicated questions that i can t ever been done before,joy,1987367661,positive,i feel glad
im just feeling very uncertain and,fear,2031454364,negative,uncertain
i tell people it feels like i am trying to convince people i am innocent but no one believes me,joy,8009264296,positive,but no one believes me
i feel very very burdened by so many situations around me right now,sadness,6829719506,negative,burdened
im not sure i relish the feeling of squelching mud between my toes when its contents are uncertain,fear,9712537580,negative,im not sure i relish the feeling of squelching mud between my toes when its contents are uncertain
i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks,joy,2459135016,positive,i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful
im constantly feeling alone,sadness,2946790257,negative,im constantly feeling alone
im taking advantage of feeling artistic incase it runs away again bell had her baby the other day yay,joy,9923939378,positive,yay
i still feel ashamed that i live in a world of people who dont know how,sadness,9258209892,negative,ashamed
i don t want you to feel pressured into making love,fear,1742944049,negative,i don t want you to feel pressured into making love
i feel like im actually supporting myself by making use of what i know and love,joy,662410760,positive,i feel like im actually supporting myself by making use of what i know and love
i ask her what shed like to do and she just says she doesnt mind so i am always making suggestions and just feel like im having to try every day to keep her entertained,joy,4650457526,positive,entertained
i like feeling suspicious and paranoid about everyone around me including my cat spending way too much time on self loathing thoughts sinking into unwarranted and unnecessary depression and then feeling supremely guilty for acting like such a bitch,fear,3107999737,negative,i like feeling suspicious and paranoid about everyone around me including my cat spending way too much time on self loathing thoughts sinking into unwarranted and unnecessary depression and then feeling supremely guilty for acting like such a bitch
i honestly believe those darker days are the reason i push so hard to be someone of worth in my future i feel it is my duty to make up for all the time i lost,sadness,8332153872,negative,i honestly believe those darker days are the reason i push so hard to be someone of worth in my future i feel it is my duty to make up for all the time i lost
i still want to be a lady who likes ladies who does not feel inhibited to kiss another woman in public but i guess i will just have to disregard societal views that pertain to my sexual preferences and how i portray them,sadness,6585464678,negative,disregard
i done something that i didn t feel inspired or challenged by,joy,9140485562,positive,i done something that i didn t feel inspired or challenged by
i feel that everyone has the ability to be artistic in his or her own special way and find that the most attractive art is unleashed fromthe virgin artists,joy,5055225404,positive,special
i think the energy in our jobs and in our writing should not always be spent on what we think will sell but rather on our pet projects we truly feel invigorated about,joy,9768602138,positive,we truly feel invigorated about
im even starting to feel more sociable,joy,5580785126,positive,sociable
i actually feel quite scared to get back to exercising because i feel like ive lost so much strength and condition and put on so much weight,fear,650455936,negative,scared
i find it hard to feel jolly when throngs of people around me are so lost in the fervor of getting stuff that they cant see their heart for the green in their wallet encouraged by the constant barrage and pressure from every angle to shop here and buy more,joy,3281430266,positive,i find it hard to feel jolly when throngs of people around me are so lost in the fervor of getting stuff that they cant see their heart for the green in their wallet encouraged by the constant barrage and pressure from every angle to shop here and buy more
i think he feels pretty cute in this,joy,6480767476,positive,cute
i wanted to go and ask him about my batting but was feeling hesitant about approaching such a big player,fear,6186099070,negative,hesitant
i got a bit caught up in the moment and forgot that at the core of the rude comments and silly songs were the real feelings of a beloved and brilliant comic actor and a very sweet and big hearted young woman,joy,7208353540,positive,very sweet and big hearted young woman
ive been feeling a bit overwhelmed with the whole marathon idea lately,fear,4198635752,negative,overwhelmed
i know i would feel weird about that and probably act strangely for a few days,surprise,6832313231,positive,i know i would feel weird about that and probably act strangely for a few days
i feel like an impostor in my work as i smile and talk about behavior contracts positive reinforcement cognitive reframing physical activity and other means for diminishing dissolving or deferring the pain of reality,joy,7504299630,positive,i feel like an impostor in my work as i smile and talk about behavior contracts positive reinforcement cognitive reframing physical activity and other means for diminishing dissolving or deferring the pain of reality
i feel suspicious if there is no one outside like the rapture has happened or something,fear,5082648700,negative,i feel suspicious
i feel so deeply shocked and saddened,surprise,3252287800,positive,i feel so deeply shocked and saddened
i did manage two short runs and a walk but today im back to feeling just shy of awful,fear,2122096165,negative,awful
im told by horsey people that they are a rare find so i feel quite lucky,joy,2579653216,positive,i feel quite lucky
i have not spent that much time with them but i just don t feel that comfortable there,joy,104043415,positive,i just don t feel that comfortable
i think i brag and it feels strange because i still see myself as a little fattie pre teen unworthy of any male attention,surprise,8397603034,positive,i think i brag and it feels strange because i still see myself as a little fattie pre teen unworthy of any male attention
i cant help but feel a little humiliated,sadness,196260988,negative,humiliated
i don t feel depressed for lack of a husband all the time,sadness,683093518,negative,i don t feel depressed
i feel really lucky to be part of what looks like an active and friendly homeschooling group here in dubai,joy,8641889620,positive,lucky
i kicked you in the throat and now i feel terrific,joy,4959596476,positive,i feel terrific
im feeling much more positive about the impending move,joy,9866354936,positive,im feeling much more positive
i want her to still feel appreciative of things i do for her,joy,3993864960,positive,appreciative
i am feeling mellow excited about it partly because i know annie will churn all kinds of emotions inside of me esp,joy,4725391169,positive,excited
i want her to be able to trust me with everything i want her to feel like she is the most valuable thing on the face of the earth i want her to feel like there is nothing that i could ever even consider thinking about because of how amazing she is,joy,5607583804,positive,how amazing she is
im glad i have a god with whom i can feel safe,joy,8225338000,positive,im glad
i doubles victory over brown struff we went back on sunday feeling really optimistic and looking forward to another day filled with more fedtastic tennis,joy,784300531,positive,optimistic
i face turn red and feel shy emm no,fear,8870708339,negative,i face turn red and feel shy
i hoped to get from her this weekend in an attempt to not feel so utterly isolated inside ambleside with the curtains firmly closed on what was the warmest sunniest day of the year so far,sadness,2854262070,negative,isolated
i felt the sadness and remorse we are supposed to feel when we realize we have wronged someone corinthians,anger,6617931378,negative,sadness and remorse
i really feel that we are progressing towards a society that is more fearless incrementally throwing away seemingly rigid boundaries like paranoia over security of one s belongings a href http www,joy,8783797590,positive,fearless
i feel so unimportant insignificant like im slipping through the gaps between his fingers and he doesnt care,sadness,1806510079,negative,unimportant insignificant
i am feeling a tad smug right now,joy,5476264674,positive,i am feeling a tad smug right now
i think browsers are more comfortable in my booth if all my attention is not focused on them and they don t feel pressured to make a purchase,fear,3632650974,negative,they don t feel pressured to make a purchase
i did develop unknown feelings for him i think thats the reason why i feel like ive been settling for all the other guys who liked me,love,1173296622,positive,i did develop unknown feelings for him i think thats the reason why i feel like ive been settling for all the other guys who liked me
i wasnt feeling that hot prior to vineman but with a little racin and a lot of self talk im now in a better spot mentally and physically,love,9754746818,positive,better spot mentally and physically
i visit m ller in my country and go to the expensive make up stands the sales assistants are always standing right next to me and looking at me like im going to steal something so i feel really uncomfortable shopping there,fear,5386733837,negative,i feel really uncomfortable
i was eager to know why i was feeling unhappy and unsatisfied,sadness,9402932636,negative,unhappy and unsatisfied
i feel crappy actually,sadness,8170724096,negative,crappy
i feel so invigorated so focused about what im being led to pursue right now and in the future,joy,6202263935,positive,i feel so invigorated so focused
i feel i am shy and i am afraid of keeping my point of view,fear,3984237002,negative,i feel i am shy and i am afraid
i feel like i get a lot of questions in my list of search phrases that point people here and sometimes i m awfully disturbed at the things that somehow bring my blog up in a search engine,sadness,9925031566,negative,awfully disturbed
i couldn t help but feel sympathetic for netflix as an army of the misinformed denounced netflix for the recent price hike,love,2707377354,positive,sympathetic
im not going to lie i feel a little insulted,anger,6355937407,negative,insulted
i feel peaceful and unafraid certain that my god has my best interests at heart,joy,656051821,positive,i feel peaceful and unafraid certain that my god has my best interests at heart
i feel awful and have had chills on and off day and night,sadness,2401622977,negative,awful
i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year,joy,8988998480,positive,glad
i feel virtuous for going to spin class then driving all the way to blackburn in the manual unsupervised and sucessfully handbrake starting,joy,7900475941,positive,virtuous
i feel like nothing can stop me and sometimes i feel like so defeated,sadness,8093399145,negative,i feel like nothing can stop me and sometimes i feel like so defeated
i email authors about interviews i feel a little intimidated,fear,8784622168,negative,i feel a little intimidated
i believe people who use fulsome manners only for social reasons they aren t on the top of the scale of human evolution and i feel hurt by their fake behavior,sadness,8982719550,negative,hurt
im not necessarily sure what but something in the education system must change or students can feel anxiety and pressure with needing to be flawless with their vast knowledge of the world,joy,5941567739,positive,im not necessarily sure what but something in the education system must change or students can feel anxiety and pressure with needing to be flawless with their vast knowledge of the world
i dont think my desire level is too much to bear but i feel unwelcome,sadness,4383899471,negative,unwelcome
i am feeling a lil bit gloomy,sadness,2562126684,negative,i am feeling a lil bit gloomy
i find that i never stop feeling excited for our company s future,joy,5452841652,positive,i find that i never stop feeling excited
i am grateful for every single thing i have maybe then ill start feeling dismayed when i don t have more,sadness,7363576856,negative,dismayed
i feel so stupid to think they will trust me,sadness,1739039068,negative,stupid
i feel awful everytime ac,sadness,7438096579,negative,awful
i like the feeling of making some difference this time i was really reluctant to change at first however get used to it after a while,fear,8656539589,negative,reluctant
i feel like life was so flawless for so very long and now i am stressed out and wanting to cry half the time,joy,2713452534,positive,i feel like life was so flawless
i feel shafted or greedy,anger,8624948089,negative,i feel shafted or greedy
i stop feeling so depressed and,sadness,201537852,negative,i stop feeling so depressed
i feel so emotional reaching three finals in four years,sadness,7851531175,negative,i feel so emotional
i wasnt feeling well yesterday and today has been randomly busy,joy,2976040141,positive,i wasnt feeling well
i the ultimate place to restore the peace to feel divine to kneel for worship and to attain hapiness,joy,9325369820,positive,i the ultimate place to restore the peace to feel divine to kneel for worship and to attain hapiness
im feeling really positive desp,joy,495700784,positive,im feeling really positive
i feel when i read your words and realize one more time just how very good of a writer you are the feeling of shared sympathies,joy,7397760556,positive,good of a writer you are the feeling of shared sympathies
i feel pity for gatsby because the longing he feels for the past is so evident,love,7198412153,positive,i feel pity for gatsby because the longing he feels for the past is so evident
i met you i used to want to lock myself into a vault just to feel precious,joy,7022353852,positive,just to feel precious
i really hate that feeling when youre unsure about something,fear,911761395,negative,i really hate
i feel like those rich people all fall into the category of don t belong when i see them on the bus,joy,2079783178,positive,i feel like those rich people all fall into the category of don t belong when i see them on the bus
i write which is what i consider my real profession even though by teaching poetry to troubled and poor kids i feel i m doing something useful,joy,5735273662,positive,i feel i m doing something useful
i feel honored to be witness to another s process,joy,5134308937,positive,honored
i had a horrible tragedy something that i was terribly ashamed of or something that was causing me great pain or that was making me feel vulnerable i have more than just one or two very trusted people who i know i could call for help,fear,4204137988,negative,i had a horrible tragedy something that i was terribly ashamed of or something that was causing me great pain or that was making me feel vulnerable
i feel stupid and incapable and i dont know what i want to do and work is stupid and only for the next two weeks and i m questioning everything,sadness,2557411093,negative,i feel stupid
i am writing this at a time when i have also had an upset with the only real parent i have had almost constantly in my life and when theres no brothers and sisters around either i am an only child it feels kinda lonely,sadness,6866934639,negative,it feels kinda lonely
i feel like this concert was much more successful than the previous one,joy,1906750725,positive,more successful
i was just feeling needy,sadness,621495579,negative,i was just feeling needy
i also feel so awful feeling this way,sadness,4137847792,negative,awful
i always intended on achieving just so i could be with everyone else and feel like i was an intelligent productive and successful person,joy,6769900515,positive,intelligent productive and successful person
i feel like i have been beaten hard with a baseball bat under my arm which the doctor said was a very apt description,sadness,9438937863,negative,beaten
i feel overwhelmingly remorseful and guilty when i watch too much news or too many sad movies or television dramas,sadness,3302616262,negative,remorseful
i feel completely drained physically and mentally worn out,sadness,269666617,negative,i feel completely drained physically and mentally worn out
i feel wonderful im tipping over backwards im so ambitious im looking back im running a race and youre the books i read so feel my fingers as they touch you arms im spinning around and i feel alright the book i read was in your eyes,joy,26194515,positive,i feel wonderful
im feeling so broke right now but i loved every minute of it,sadness,5078680682,negative,im feeling so broke right now but i loved every minute of it
i want to say that i feel vulnerable writing and sharing this info,fear,5700931572,negative,vulnerable
i was using it to vent out ugly feelings and be vicious and nasty rather then deal with them like an adult,anger,373322576,negative,vicious and nasty rather then deal with them like an adult
i always thought that if i contracted something from one of those people and passed it on to him that i d feel awful but after i got the sti test i thought i was basically in the clear,sadness,1264805751,negative,i d feel awful
i didnt feel that there were enough strong smart and funny female main characters in fiction and since thats what i imagine myself to be i started writing,joy,100092732,positive,smart
i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings,fear,631085947,negative,i would just go to the straight point rather than doing a defination of such as what is romance feeling or anger feeling or suspicious feelings
i wasnt feeling casual much,joy,5366934561,positive,i wasnt feeling casual much
i feel slightly emotional watching it,sadness,1565999546,negative,emotional
i feel like i ve regained another vital part of my life which is living,joy,7976677786,positive,i feel like i ve regained another vital part of my life which is living
i went up to the teacher and said im gonna step outside for a second im really not feeling too well,joy,6882028759,positive,im really not feeling too well
i pray that each of you who is hurting or feeling afraid tonight finds peace and soon,fear,261077566,negative,afraid
i could feel myself getting that shaky feeling,fear,3299981819,negative,shaky feeling
i feel more crucified heartbroken tortured and forsaken than i have ever before felt but not at the hands of my enemy at the hands of those i love,sadness,8453293580,negative,i feel more crucified heartbroken
i feel like he was more important to me than i thought he was,joy,143123034,positive,i feel like he was more important
i believe its possible to be joyful and full of thanks while feeling overwhelmed and exhausted by life,surprise,1834310042,positive,joyful
i want people to feel brave and i want society to accept us as disabled people amongst us who deserve dignity and respect not to be shunned and laughed at,joy,6991665459,positive,i want people to feel brave
im feeling awfully spiteful right now,anger,93531263,negative,im feeling awfully spiteful
i feel more of a sense of longing than of loss,love,5671000326,positive,i feel more of a sense of longing
i guess you cant see how wed feel a bit unwelcome,sadness,8988952875,negative,unwelcome
i stay up and feel foolish,sadness,6165015902,negative,i stay up and feel foolish
i think people born in the s and s hold the key to opening many doors for us we just need to make them feel treasured enough to share it,love,2359057901,positive,treasured
i would like to reduce the amount of jealousy i feel god commands us not to be jealous and i feel that every jew religious or not should obey that prohibition,anger,9551850026,negative,jealousy
i feel so highly intimidated that i get flustered and cant form my words not even in english with her,fear,7770541372,negative,intimidated
i feel reluctant talking about myself and my current situation to you as i don t know how you ll feel but i guess its important you know all about me and the situation i am in so that we ll know if we can go further,fear,2901216416,negative,reluctant
i learned in the foundry of my own childhood that humor made a perfect shield for keeping people at bay for helping me conceal my true feelings for lending the appearance of truth to all the lies i would tell about how happy i was and for providing me with the wherewithal to get through each day,joy,4068301906,positive,humor made a perfect shield for keeping people at bay for helping me conceal my true feelings for lending the appearance of truth to all the lies i would tell about how happy i was and for providing me with the wherewithal to get through each day
id never do but i woke feeling stressed,sadness,5813690784,negative,stressed
i feel i need to put my beloved uggs to one side and get back on the ballet pump bandwagon,love,4019731370,positive,i feel i need to put my beloved uggs to one side and get back on the ballet pump bandwagon
i feel terrible about the lady driver though,sadness,7556497517,negative,i feel terrible
i had a pretty trying adolescence and any time im put into a situation where im made to feel inadequate it makes me revert right back into the shy awkward teenager with low self esteem that i was in high school,sadness,5249840833,negative,inadequate
i am being told i should feel satisfied because i am in good standing with the powers that be,joy,3699131928,positive,satisfied
i actually just feel really eager,joy,9529279830,positive,i actually just feel really eager
im sitting here in the belmont library listening to hold on tight by electric light orchestra feeling a bit of discontent,sadness,4491683240,negative,feeling a bit of discontent
i feel really bless to have a very supportive family who appreciate everything that i do,love,7890570975,positive,i feel really bless
i feel so welcomed,joy,1060180117,positive,i feel so welcomed
i shut the door but i didn t feel triumphant,joy,7637580405,positive,triumphant
i was feeling pretty wiped out mentally amp physically i was determined to get some oxygen to my brain,joy,6978658240,positive,i was feeling pretty wiped out
i said in some recent interviews we will have two guests on the next alcest album and today i feel glad to reveal the first one,joy,8505472328,positive,i feel glad
my roommate was rude to me,anger,479412279,negative,rude
i feel so weird not saying goodnight to mike,surprise,9139053367,positive,i feel so weird not saying goodnight to mike
i feel lighter and more compassionate after i have these little talks with myself,love,9573337002,positive,i feel lighter and more compassionate
i was impressed with how dunham portrayed hannahs whole experience from trying to deny that its happening to feeling offended when you feel like someone is trying to minimise the distress its causing you,anger,1683825734,negative,i was impressed with how dunham portrayed hannahs whole experience from trying to deny that its happening to feeling offended when you feel like someone is trying to minimise the distress its causing you
i watched his face contort in sadness i began to feel regretful of my actions,sadness,3516685045,negative,sadness i began to feel regretful of my actions
i have been stumbling into quote after quote urging me because i really do feel they are meant for me to do away with my hated day job and dedicate my efforts to what matters most,sadness,7841932478,negative,hated
i prayed to trust god with my desire to feel a divine sense of home,joy,5816930506,positive,i prayed to trust god with my desire to feel a divine sense of home
i found is that feeling worthless is a waste of time,sadness,3669977501,negative,i found is that feeling worthless is a waste of time
i feel totally carefree with them around,joy,8451302347,positive,carefree
i will not go into details from that long night but i woke up for our am bus feeling like i could barely stand and not trusting the pit in my stomach,joy,1119420496,positive,not trusting the pit in my stomach
i feel so incredibly graceful and sexy in this pose i have to say,joy,590267251,positive,i feel so incredibly graceful
i feel unimportant but even if i am in some way its still not my place to be making any decisions or voicing my opinions and its certainly not my place to be sharing my feelings,sadness,9454932301,negative,unimportant
i am learning to step back and call it out to not be too proud to admit that yes i am feeling annoyed and yes i should tell you why,anger,5678596788,negative,annoyed
i want to avoid feeling disliked,sadness,5646755875,negative,disliked
i feel pretty lame typing that but my upper body is so weak,sadness,1191313786,negative,i feel pretty lame typing that but my upper body is so weak
i feel very needy,sadness,8741272789,negative,i feel very needy
i feel and i think that should be respected,joy,9057889054,positive,respected
i was feeling a little like a cold was coming on,anger,5211163261,negative,i was feeling a little like a cold was coming on
i just wanna say that the last three months i feel so happy about my blog,joy,5448943497,positive,i feel so happy
i left feeling defeated like nothing had been accomplished the day a complete waste of time amp energy,sadness,8911673814,negative,defeated
i had ritz crackers in my desk drawer because theyre something ill eat even when i feel crappy and or dont feel like eating,sadness,83843421,negative,crappy
i feel that tenure protects a lot of teachers that r innocent,joy,1178598393,positive,protects
i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path,anger,1026543217,negative,i hurt
i did wake up this morning feeling more like myself so after days of sloth i was keen to get geared up and head to higher altitudes,joy,3923268475,positive,keen
i feel like the character precious,joy,433000613,positive,i feel like the character precious
i feel in love with the weight watchers program and was faithful to count my points,love,1524868989,positive,i feel in love
i feel like one of those girls in school that i hated because their outfits were perfect everyday because they went shopping once a week,sadness,488570611,negative,hated
i fought i could feel myself trusting this man who was so patient and had a cool confidence more and more,joy,748937189,positive,cool
i feel like my very essence is no more and work has drained my soul hopefully soon i will find my escape from work into a better path as i seem to be stuck only the cliquey get to move on and i do not want to roll like that,sadness,5505762087,negative,i feel like my very essence is no more and work has drained my soul hopefully soon i will find my escape from work into a better path as i seem to be stuck
i feel surprised because i didnt expect it,surprise,4263509918,positive,i feel surprised
i feel tortured by something,anger,2649640757,negative,i feel tortured by something
i feel suffocated yet charmed my brain pauses logic,joy,4110268501,positive,suffocated
i was feeling groggy and super tired during most of the fall we ended up staying home for thanksgiving instead of making the hour trip to see jimmys family,sadness,4141631912,negative,tired
i had coped for barely twenty four hours before i was feeling wrung out and distraught,fear,2711949680,negative,i was feeling wrung out and distraught
i feel that the father wants to tell you that he is pleased with you,joy,8383524181,positive,he is pleased with you
i uploaded and put the link to in my previous post is only good for six more days or until i feel gracious enough to upload it again,joy,2443731095,positive,good
im pretty sure it had to do with the fact that im dealing with hyperemesis not enough sleep and feeling irritable,anger,9610490772,negative,feeling irritable
i wanted to feel assured,joy,4194658130,positive,i wanted to feel assured
i feel like copying the handsome boy say yay so fun,joy,6698231074,positive,so fun
i am sorry that you feel i deserve to be blamed for the friends i pick all of which are better then some of the friends i could be hanging out with getting high and drunk while underage,sadness,6174739998,negative,i am sorry
i feel that it is dangerous to portray angels as walking the earth and intermarrying with humans,anger,736237781,negative,dangerous
i am feeling a bit nostalgic so decided to take a tour through my memory lane,love,5449004087,positive,i am feeling a bit nostalgic
i feel excited about something that is soley for me here is the video about it,joy,5668164157,positive,excited
i feel like i m a doomed gladiator in a stadium constructed of cardboard and copies of romeo and juliet and the outsiders are screaming for my blood,sadness,2543614991,negative,doomed
i think she just rolled out i guess she s over it already i m kinda feeling that but no one has performed yet and word on the street is there is supposed to be a surprised performance by lil wayne nikki minaj and drake that would be dope,surprise,7393945275,positive,i m kinda feeling that but no one has performed yet and word on the street is there is supposed to be a surprised performance by lil wayne nikki minaj and drake that would be dope
i feel a tender compassion glancing at her huge and heavy rucksack,love,2618981139,positive,tender compassion
i feel romantic and passionate toward my partner,love,4757544555,positive,i feel romantic and passionate
i hated the day job and after a few months of feeling like i was being cosmically punished for doing a good deed i was getting ready to quit when i met the woman that would become my wife,sadness,3573297090,negative,hated
i feel ashamed that i again let it come that far,sadness,9516443741,negative,ashamed
i feel a little ashamed that i had such low expectations in the first place,sadness,9963862099,negative,ashamed
i started feeling very gentle contractions about minutes apart,love,7043915804,positive,gentle contractions
i feel like im being a terrible person and that hes going to hate me for thinking these things,sadness,1680847729,negative,terrible
i feel like a post might be devoted to dealing with emotions caused by situations vs,love,9627501547,positive,i feel like a post might be devoted to dealing with emotions caused by situations vs
i flung into my suitcase at the last minute didn t break on the crossing over or explode in the pressurized cabin so thus far i m feeling pretty splendid about things,joy,6674856003,positive,pretty splendid
i need to listen to a song where i can be angry and feel accepted at the same time,joy,3209669889,positive,i can be angry and feel accepted
i find myself seeking and yearning for love and acceptance from people that can not provide it and then being disappointed when i am alone and feeling unloved and unworthy,sadness,5620538950,negative,disappointed when i am alone and feeling unloved and unworthy
i feel accepted and appreciated by my teammates and peers,love,900373278,positive,i feel accepted and appreciated
i know that feeling for sure,joy,2328645014,positive,i know that feeling for sure
i was left feeling bothered by it for a long time afterwards,anger,519367123,negative,bothered
i feel like hopeless helpless worthless scum,sadness,7263451259,negative,i feel like hopeless helpless worthless scum
i feel so blessed to have both lisa and god as friends in this life,joy,9018224834,positive,blessed
i stopped feeling bitter and sorry for myself and lost myself in the work my work started getting better or rather continued to get better,anger,4269613499,negative,sorry
i am still feeling a little remorseful that we didnt just break down and buy it,sadness,6458683620,negative,remorseful
i feel more and more stressed,anger,7967812983,negative,i feel more and more stressed
i do not feel like i am intelligent enough to be a teacher,joy,3910182174,positive,i do not feel like i am intelligent enough
i feel naughty just being this girls friend,love,330127694,positive,i feel naughty just being this girls friend
i would stay in charge thereby helping z to feel safe yet at the same time be nurturing and loving,joy,1228720952,positive,nurturing and loving
i fully enjoy music when i feel afraid using headphones,fear,4813419782,negative,afraid
i feel so cranky right now,anger,2034487848,negative,i feel so cranky
i feel all festive sitting down with my address book and list christmas songs in the background and writing a personal message in each one congratulations on your exam results,joy,5666900476,positive,congratulations
ive had so much more energy no more slugging around feeling lethargic after massive takeaways and choccy binges and my skin started to clear up instantly,sadness,7748284607,negative,ive had so much more energy no more slugging around feeling lethargic
i feel pretty insecure about my current relationship,fear,3194563551,negative,i feel pretty insecure
i enjoy hearing the faith stories of other believers sometimes these stories leave me feeling inadequate and guilty,sadness,6430956325,negative,inadequate and guilty
i feel like ending my life like some song from damaged or something,sadness,1109268943,negative,i feel like ending
i feel totally rejected,sadness,7475241337,negative,i feel totally rejected
i say no i feel guilty begins by giving you the reasons for and benefits of being assertive without being aggressive,sadness,40129926,negative,feel guilty
i feel more jaded,sadness,9561185786,negative,jaded
i feel a little strange chasing after them since im so disappointed in the brand as a whole,fear,7921827599,negative,disappointed
i didn t feel too hot from the swim,love,758158730,positive,i didn t feel too hot
i was to her in fact so i m taking that as she feels regretful for what she has done,sadness,7631377218,negative,regretful
i feel embarrassed by it,sadness,9969551731,negative,i feel embarrassed by it
i perceive you feel the dint of pity these are gracious drops,joy,7641715278,positive,i perceive you feel the dint of pity these are gracious drops
